,0,15,30,45,60,75,90
0,271,271,271,271,271,271,271
5,299,299,293,286,281,277,275
10,359,356,343,331,303,283,274
15,405,403,389,365,329,287,269
20,438,439,422,393,348,291,259
25,442,445,431,409,359,293,242
30,352,381,400,401,361,287,223
35,222,243,288,356,347,279,204
40,147,168,199,255,308,267,187
45,79,100,130,156,248,247,167
50,21,37,67,96,163,210,144
55,2,5,16,44,92,156,114
60,1,4,8,15,40,74,59
65,1,4,7,7,12,10,5
70,0,1,3,1,1,1,1
75,0,0,0,0,0,1,1
80,0,0,0,0,0,0,1
85,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
