,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
0,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
5,299,299,299,299,297,295,293,291,288,286,284,283,281,280,278,277,276,276,275
10,359,358,357,356,352,347,343,339,335,331,322,312,303,296,290,283,280,277,274
15,405,404,404,403,398,394,389,381,373,365,353,341,329,315,301,287,281,275,269
20,438,438,439,439,433,428,422,412,403,393,378,363,348,329,310,291,280,270,259
25,442,443,444,445,440,436,431,424,416,409,392,376,359,337,315,293,276,259,242
30,352,362,371,381,387,394,400,400,401,401,388,374,361,336,312,287,266,244,223
35,222,229,236,243,258,273,288,311,333,356,353,350,347,324,302,279,254,229,204
40,147,154,161,168,178,189,199,218,236,255,273,290,308,294,281,267,240,214,187
45,79,86,93,100,110,120,130,139,147,156,187,217,248,248,247,247,220,194,167
50,21,26,32,37,47,57,67,77,86,96,118,141,163,179,194,210,188,166,144
55,2,3,4,5,9,12,16,25,35,44,60,76,92,113,135,156,142,128,114
60,1,2,3,4,5,7,8,10,13,15,23,32,40,51,63,74,69,64,59
65,1,2,3,4,5,6,7,7,7,7,9,10,12,11,11,10,8,7,5
70,0,0,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
