,0,30,60,90
0,124.1,124.1,124.1,124.1
5,124.7,124.4,123.6,123.4
10,126.1,124.9,121.9,121
15,156.6,140.5,120.2,116.9
20,245.5,201.1,121.5,111.7
25,311,277.7,133.4,106.3
30,354.8,319.4,160.5,100.7
35,365.7,335.8,190,95
40,300.1,305.3,195,83.4
45,201.9,241.4,168,60.4
50,134,154.8,107,33.9
55,60.1,84.9,48.6,12.6
60,10.7,32.4,14.9,2.9
65,3.2,9.1,3.2,2.2
70,2.6,3.4,2.2,1.7
75,2.2,2,1.9,1.5
80,1.8,1.8,1.8,1.3
85,1.6,1.6,1.6,1.2
90,1,1.3,1.2,1
95,5,4.5,6.2,4.4
100,20.8,19.9,19.2,11.3
105,36.7,36.3,35.8,20
110,52,53.2,54,29.8
115,68.8,70,70.3,40
120,87.5,87,81.2,50.5
125,105,104,89.7,60.8
130,119.5,118.3,96.9,70.8
135,128.1,127.2,104.2,80.4
140,136.3,136.2,111.3,89.2
145,147.9,144.3,117.9,97.2
150,157.2,149.8,123.5,104.6
155,160.5,150.8,126.3,110.8
160,154.6,145.6,126.2,115.9
165,141.1,136.5,125.8,120
170,132.5,130.8,125.9,123
175,128.2,127.3,125.3,124.6
180,125.2,125.2,125.2,125.2
