,0,30,60,90
0,287.36,287.36,287.36,287.36
5,296.789,294.651,288.995,286.724
10,308.799,304.65,293.844,283.258
15,318.79,312.107,293.957,276.614
20,322.887,314.924,291.081,267.948
25,326.984,313.157,285.893,257.26
30,327.208,314.482,277.604,243.799
35,303.86,299.844,274.221,228.258
40,259.185,265.54,253.244,200.066
45,183.528,207.261,198.547,155.639
50,113.597,145.668,132.797,104.915
55,55.6198,78.6068,70.8249,50.3775
60,16.0517,35.4642,24.0782,9.8213
65,1.96437,9.28035,2.98863,2.36867
70,1.40312,2.20961,1.5789,1.61763
75,1.1225,1.27052,1.12778,1.21322
80,0.954124,1.04956,0.845839,0.924357
85,0.897999,0.883843,0.73306,0.808813
90,0.785749,0.883843,0.73306,0.808813
95,0,0,0,0
100,0,0,0,0
105,0,0,0,0
110,0,0,0,0
115,0,0,0,0
120,0,0,0,0
125,0,0,0,0
130,0,0,0,0
135,0,0,0,0
140,0,0,0,0
145,0,0,0,0
150,0,0,0,0
155,0,0,0,0
160,0,0,0,0
165,0,0,0,0
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
