,0,30,60,90
0,269.707,269.707,269.707,269.707
5,269.943,266.873,266.011,266.648
10,293.602,283.72,256.811,255.198
15,312.213,292.615,260.035,246.336
20,300.463,294.662,258.462,239.278
25,298.886,281.673,243.601,221.632
30,279.722,258.922,222.606,185.399
35,256.064,241.603,202.398,172.772
40,220.891,216.254,184.313,155.911
45,191.003,187.205,158.6,122.58
50,158.827,151.936,125.182,89.8761
55,111.116,112.26,87.2812,60.8585
60,69.2405,70.7725,56.6148,41.4873
65,36.5129,37.3937,33.8903,24.2336
70,6.15121,12.517,13.1315,7.84259
75,1.57723,1.88936,1.80853,1.56852
80,1.34065,1.41702,1.33674,1.33324
85,1.26179,1.3383,1.17948,1.17639
90,1.0252,1.18085,1.10084,1.01954
95,0,0,0,0
100,0,0,0,0
105,0,0,0,0
110,0,0,0,0
115,0,0,0,0
120,0,0,0,0
125,0,0,0,0
130,0,0,0,0
135,0,0,0,0
140,0,0,0,0
145,0,0,0,0
150,0,0,0,0
155,0,0,0,0
160,0,0,0,0
165,0,0,0,0
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
