,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
0,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
5,247,247,246,246,246,245,245,245,245,245,245,244,244,244,243,243,243,242,242
10,246,246,245,245,244,244,243,243,242,242,241,240,239,238,238,237,237,236,236
15,245,244,244,243,242,240,239,238,238,237,235,232,230,229,229,228,228,228,228
20,245,243,242,240,237,235,232,231,229,228,225,222,219,218,216,215,215,216,216
25,240,238,236,234,232,229,227,224,221,218,214,211,207,205,203,201,201,200,200
30,236,233,230,227,224,222,219,215,210,206,202,199,195,192,190,187,186,185,184
35,225,222,219,216,212,209,205,201,196,192,188,183,179,176,173,170,169,169,168
40,211,208,206,203,199,195,191,186,180,175,171,168,164,160,157,153,151,150,148
45,195,192,189,186,181,176,171,166,162,157,153,149,145,141,138,134,132,131,129
50,172,170,167,165,160,156,151,146,141,136,132,129,125,121,118,114,112,109,107
55,136,133,131,128,127,127,126,122,118,114,110,107,103,100,96,93,91,89,87
60,90,89,89,88,87,86,85,86,88,89,86,83,80,77,75,72,70,68,66
65,55,54,54,53,53,54,54,55,56,57,56,56,55,53,51,49,48,46,45
70,32,32,32,32,32,32,32,33,33,34,34,34,34,33,32,31,31,31,31
75,21,21,22,22,22,21,21,21,22,22,22,22,22,22,22,22,22,21,21
80,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
85,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
